Depth,Time,2.53,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,
cm,ns,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,
,,Dry (er=2.53),50 ml (er=2.74),100 ml (er=2.96),150 ml (er=3.18),200 ml (er=3.42),250 ml (er=3.67),300 ml (er=3.92),350 ml (er=4.18),400 ml (er=4.45),450ml (er=4.73),
0,16.15,0.43653,0.353297,0.0435421,-1.005547,-1.500341,-1.594382,-1.710513,-2.149558,-2.655376,-3.089209,-2.53
0.48,16.2,0.48389624152076,0.190211186093047,-0.229938272336168,-1.18868904002001,-1.96511644332166,-2.11995022411206,-2.29615294317159,-2.645414016008,-3.11855213306653,-3.64977925312656,2.74
0.96,16.25,0.285882980590295,-0.0392467613806903,-0.459375346723362,-1.14356549194597,-2.39855063101551,-2.60034892946473,-2.77802094687344,-3.03527442421211,-3.38481151175588,-3.99542033866934,2.96
1.44,16.3,0.100441990195097,-0.371107429214607,-0.525096044972486,-0.830189112356178,-2.23538478389195,-2.53937140070035,-2.6420688172086,-2.89727675937969,-3.25019381790895,-4.0285004042021,3.18
1.92,16.35,-0.0849990002001002,-0.560742096548274,-0.78363,-0.898005435217609,-2.23134149654827,-2.76776317358679,-2.92612593066533,-3.21455947873937,-3.73762646423212,-5.12962054427214,3.42
2.4,16.4,-0.0882841881940968,-0.723827910455228,-1.03170722651326,-1.27039424992496,-2.56756203001501,-3.287524014007,-3.46993444932466,-3.83671844222111,-4.40386996598299,-5.58258132916458,3.67
2.88,16.45,0.0720122611305655,-0.686832835917959,-1.15574477243622,-1.50440907883942,-2.61996876598299,-3.44793002201101,-3.65393967633817,-3.99876230615308,-4.6502887953977,-5.73773916708354,3.92
3.36,16.5,0.666052043921961,-0.529436062031016,-1.22149961605803,-1.53413572426213,-2.20463751875938,-2.88751749574787,-3.21470971895948,-3.58243036818409,-4.2991859929965,-5.57941299149575,4.18
3.84,16.55,1.61211540170085,-0.332216008004002,-1.15798,-1.38151735757879,-1.80166732056028,-2.11514,-2.561127,-3.042649,-3.739044,-5.29939268084042,4.45
4.32,16.6,1.67251266103051,-0.188093660830415,-1.03093814002001,-1.31029545312656,-1.52477982241121,-1.88864750075038,-2.43306949064532,-3.03020765182591,-3.68073688544272,-5.35444868784392,4.73
4.79,16.65,1.25134159809905,-0.376313699849925,-0.970976703601801,-1.251283018009,-1.44907391095548,-1.8870428014007,-2.50627448354177,-3.12142644722361,-3.7583131835918,-5.41951487793897,
5.27,16.7,0.867887346773387,-0.674040127563782,-0.975459988394197,-1.237533185993,-1.49604589724862,-1.9625387893947,-2.63176875707854,-3.20328946873437,-3.83132617008504,-5.44318511855928,
5.75,16.75,1.1130989991996,-0.890223648324162,-1.07110339729865,-1.30468526733367,-1.61223975807904,-2.04384216108054,-2.68928696578289,-3.22254132266133,-3.80666409004502,-5.36060110805403,
6.23,16.8,1.06072344032016,-0.954555364682341,-1.20709636933467,-1.80730842161081,-1.98554343861931,-2.53456608304152,-3.03701068204102,-3.52951310255128,-3.95050472036018,-5.28265436718359,
6.71,16.85,0.41010844012006,-0.759104689344672,-1.6001310028014,-2.34045524922461,-2.57392937218609,-3.21693366683342,-3.49715635167584,-3.88737145372686,-4.20833182891446,-5.32992198149075,
7.19,16.9,-0.639676149574788,-1.36972831815908,-1.78245125102551,-2.77796123371686,-3.03870481550775,-3.53633976988494,-3.75598829084542,-4.08384270535268,-4.34979449024512,-5.18727687243622,
7.67,16.95,-1.11427936228114,-1.7584793861931,-1.99764892106053,-3.12796602131066,-3.24142601950975,-3.51323809104552,-3.77119589964982,-4.13267834717359,-4.23860422511256,-4.7468288164082,
8.15,17,-1.122131,-1.66196,-2.30849,-3.006337,-3.007367,-3.118336,-3.473147,-3.898784,-3.935144,-4.498764,
